Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
Floresco,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Brentina,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Nadine,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Pop Art,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Quando Quando,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Diabolo St Maurice,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Ravel,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Notavel,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Galopin De La Font,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Orion,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Greenoaks Dundee,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Sunrise,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Salinero,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Satchmo,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Solos Carex,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Dow Jones,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Digby,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
